row,column,hsv,h,s,v
0,0,"(0, 0, 100)",0,0,100
0,1,"(51, 6, 89)",51,6,89
0,2,"(60, 4, 80)",60,4,80
0,3,"(48, 3, 62)",48,3,62
0,4,"(37, 8, 38)",37,8,38
0,5,"(314, 46, 88)",314,46,88
0,6,"(306, 57, 61)",306,57,61
0,7,"(292, 58, 42)",292,58,42
0,8,"(254, 51, 61)",254,51,61
0,9,"(240, 57, 43)",240,57,43
1,0,"(150, 1, 82)",150,1,82
1,1,"(160, 3, 75)",160,3,75
1,2,"(147, 6, 63)",147,6,63
1,3,"(180, 9, 26)",180,9,26
1,4,"(0, 0, 8)",0,0,8
1,5,"(149, 69, 82)",149,69,82
1,6,"(145, 85, 66)",145,85,66
1,7,"(150, 82, 40)",150,82,40
1,8,"(171, 81, 65)",171,81,65
1,9,"(173, 73, 33)",173,73,33
2,0,"(51, 29, 94)",51,29,94
2,1,"(2, 16, 97)",2,16,97
2,2,"(172, 22, 90)",172,22,90
2,3,"(322, 17, 99)",322,17,99
2,4,"(253, 12, 93)",253,12,93
2,5,"(185, 64, 88)",185,64,88
2,6,"(182, 77, 64)",182,77,64
2,7,"(194, 68, 92)",194,68,92
2,8,"(197, 82, 81)",197,82,81
2,9,"(198, 85, 50)",198,85,50
3,0,"(49, 51, 95)",49,51,95
3,1,"(45, 57, 100)",45,57,100
3,2,"(41, 60, 99)",41,60,99
3,3,"(79, 60, 83)",79,60,83
3,4,"(85, 53, 65)",85,53,65
3,5,"(204, 50, 89)",204,50,89
3,6,"(220, 76, 62)",220,76,62
3,7,"(211, 56, 81)",211,56,81
3,8,"(216, 81, 65)",216,81,65
3,9,"(221, 72, 37)",221,72,37
4,0,"(355, 49, 96)",355,49,96
4,1,"(354, 66, 90)",354,66,90
4,2,"(357, 74, 83)",357,74,83
4,3,"(343, 71, 86)",343,71,86
4,4,"(344, 73, 60)",344,73,60
4,5,"(220, 56, 79)",220,56,79
4,6,"(220, 76, 62)",220,76,62
4,7,"(224, 64, 33)",224,64,33
4,8,"(350, 27, 17)",350,27,17
4,9,"(340, 17, 14)",340,17,14
5,0,"(338, 51, 95)",338,51,95
5,1,"(344, 66, 86)",344,66,86
5,2,"(347, 66, 90)",347,66,90
5,3,"(349, 79, 81)",349,79,81
5,4,"(348, 73, 52)",348,73,52
5,5,"(247, 37, 78)",247,37,78
5,6,"(245, 47, 65)",245,47,65
5,7,"(233, 61, 35)",233,61,35
6,0,"(324, 50, 94)",324,50,94
6,1,"(324, 64, 78)",324,64,78
6,2,"(317, 68, 51)",317,68,51
6,3,"(331, 74, 75)",331,74,75
6,4,"(327, 67, 40)",327,67,40
