row,column,hsv,h,s,v
0,0,"(35, 16, 90)",35,16,90
0,1,"(33, 21, 81)",33,21,81
0,2,"(35, 25, 91)",35,25,91
0,3,"(31, 30, 93)",31,30,93
0,4,"(32, 37, 80)",32,37,80
0,5,"(3, 52, 83)",3,52,83
0,6,"(354, 72, 85)",354,72,85
0,7,"(350, 73, 74)",350,73,74
0,8,"(348, 73, 62)",348,73,62
0,9,"(348, 55, 29)",348,55,29
1,0,"(46, 23, 89)",46,23,89
1,1,"(64, 22, 84)",64,22,84
1,2,"(42, 30, 93)",42,30,93
1,3,"(10, 27, 98)",10,27,98
1,4,"(175, 26, 83)",175,26,83
1,5,"(83, 30, 74)",83,30,74
1,6,"(73, 45, 75)",73,45,75
1,7,"(73, 43, 61)",73,43,61
1,8,"(70, 46, 40)",70,46,40
1,9,"(103, 14, 19)",103,14,19
2,0,"(28, 7, 77)",28,7,77
2,1,"(28, 9, 55)",28,9,55
2,2,"(16, 12, 35)",16,12,35
2,3,"(26, 20, 65)",26,20,65
2,4,"(356, 17, 36)",356,17,36
2,5,"(178, 60, 77)",178,60,77
2,6,"(176, 71, 63)",176,71,63
2,7,"(168, 59, 58)",168,59,58
2,8,"(162, 58, 40)",162,58,40
2,9,"(170, 52, 24)",170,52,24
3,0,"(323, 28, 22)",323,28,22
3,1,"(170, 47, 21)",170,47,21
3,2,"(218, 61, 33)",218,61,33
3,3,"(218, 61, 33)",218,61,33
3,4,"(0, 0, 15)",0,0,15
3,5,"(191, 52, 80)",191,52,80
3,6,"(193, 79, 71)",193,79,71
3,7,"(193, 79, 54)",193,79,54
3,8,"(189, 78, 45)",189,78,45
3,9,"(172, 60, 25)",172,60,25
4,0,"(35, 47, 96)",35,47,96
4,1,"(37, 50, 84)",37,50,84
4,2,"(32, 51, 72)",32,51,72
4,3,"(24, 48, 92)",24,48,92
4,4,"(15, 50, 76)",15,50,76
4,5,"(330, 23, 85)",330,23,85
4,6,"(330, 39, 76)",330,39,76
4,7,"(330, 50, 62)",330,50,62
4,8,"(332, 53, 44)",332,53,44
4,9,"(208, 62, 35)",208,62,35
5,0,"(357, 46, 97)",357,46,97
5,1,"(355, 63, 82)",355,63,82
5,2,"(10, 54, 91)",10,54,91
5,3,"(8, 54, 75)",8,54,75
5,4,"(0, 53, 44)",0,53,44
5,5,"(44, 44, 60)",44,44,60
5,6,"(43, 46, 51)",43,46,51
5,7,"(43, 38, 30)",43,38,30
6,0,"(2, 41, 96)",2,41,96
6,1,"(3, 51, 94)",3,51,94
6,2,"(0, 57, 78)",0,57,78
6,3,"(354, 60, 61)",354,60,61
6,4,"(353, 64, 44)",353,64,44
