row,column,hsv,h,s,v
0,0,"(51, 6, 90)",51,6,90
0,1,"(47, 11, 85)",47,11,85
0,2,"(51, 7, 75)",51,7,75
0,3,"(35, 11, 65)",35,11,65
0,4,"(33, 8, 51)",33,8,51
0,5,"(158, 45, 87)",158,45,87
0,6,"(163, 86, 78)",163,86,78
0,7,"(166, 82, 64)",166,82,64
0,8,"(161, 84, 62)",161,84,62
0,9,"(160, 70, 40)",160,70,40
1,0,"(180, 3, 71)",180,3,71
1,1,"(174, 7, 58)",174,7,58
1,2,"(180, 5, 46)",180,5,46
1,3,"(195, 20, 62)",195,20,62
1,4,"(200, 33, 46)",200,33,46
1,5,"(166, 55, 86)",166,55,86
1,6,"(170, 86, 78)",170,86,78
1,7,"(176, 75, 81)",176,75,81
1,8,"(175, 80, 72)",175,80,72
1,9,"(175, 74, 49)",175,74,49
2,0,"(32, 8, 77)",32,8,77
2,1,"(353, 17, 57)",353,17,57
2,2,"(0, 17, 41)",0,17,41
2,3,"(356, 17, 36)",356,17,36
2,4,"(336, 35, 34)",336,35,34
2,5,"(189, 50, 88)",189,50,88
2,6,"(188, 72, 78)",188,72,78
2,7,"(181, 80, 77)",181,80,77
2,8,"(185, 75, 66)",185,75,66
2,9,"(190, 76, 58)",190,76,58
3,0,"(39, 27, 95)",39,27,95
3,1,"(39, 32, 93)",39,32,93
3,2,"(47, 41, 94)",47,41,94
3,3,"(42, 43, 99)",42,43,99
3,4,"(39, 48, 98)",39,48,98
3,5,"(199, 44, 92)",199,44,92
3,6,"(202, 53, 90)",202,53,90
3,7,"(206, 68, 81)",206,68,81
3,8,"(207, 82, 65)",207,82,65
3,9,"(205, 84, 55)",205,84,55
4,0,"(357, 45, 97)",357,45,97
4,1,"(355, 62, 93)",355,62,93
4,2,"(353, 56, 97)",353,56,97
4,3,"(351, 73, 88)",351,73,88
4,4,"(348, 73, 74)",348,73,74
4,5,"(218, 35, 87)",218,35,87
4,6,"(220, 42, 83)",220,42,83
4,7,"(219, 57, 75)",219,57,75
4,8,"(215, 66, 62)",215,66,62
4,9,"(216, 76, 49)",216,76,49
5,0,"(354, 40, 98)",354,40,98
5,1,"(350, 51, 97)",350,51,97
5,2,"(348, 62, 95)",348,62,95
5,3,"(349, 67, 92)",349,67,92
5,4,"(346, 78, 81)",346,78,81
5,5,"(258, 35, 78)",258,35,78
5,6,"(257, 43, 62)",257,43,62
5,7,"(251, 45, 52)",251,45,52
6,0,"(350, 30, 95)",350,30,95
6,1,"(340, 37, 95)",340,37,95
6,2,"(341, 48, 98)",341,48,98
6,3,"(340, 60, 87)",340,60,87
6,4,"(339, 59, 69)",339,59,69
