row,column,hsv,h,s,v
0,0,"(37, 17, 93)",37,17,93
0,1,"(33, 13, 89)",33,13,89
0,2,"(36, 22, 93)",36,22,93
0,3,"(41, 26, 89)",41,26,89
0,4,"(36, 28, 84)",36,28,84
0,5,"(349, 27, 98)",349,27,98
0,6,"(343, 48, 95)",343,48,95
0,7,"(345, 63, 96)",345,63,96
0,8,"(348, 51, 95)",348,51,95
0,9,"(350, 72, 87)",350,72,87
1,0,"(18, 24, 93)",18,24,93
1,1,"(18, 37, 96)",18,37,96
1,2,"(51, 19, 82)",51,19,82
1,3,"(66, 18, 65)",66,18,65
1,4,"(86, 6, 43)",86,6,43
1,5,"(88, 31, 85)",88,31,85
1,6,"(107, 33, 81)",107,33,81
1,7,"(115, 42, 77)",115,42,77
1,8,"(122, 55, 73)",122,55,73
1,9,"(157, 87, 64)",157,87,64
2,0,"(42, 10, 80)",42,10,80
2,1,"(45, 9, 71)",45,9,71
2,2,"(42, 10, 50)",42,10,50
2,3,"(27, 9, 40)",27,9,40
2,4,"(21, 29, 42)",21,29,42
2,5,"(178, 38, 81)",178,38,81
2,6,"(178, 60, 76)",178,60,76
2,7,"(164, 42, 78)",164,42,78
2,8,"(169, 74, 73)",169,74,73
2,9,"(169, 62, 53)",169,62,53
3,0,"(100, 2, 71)",100,2,71
3,1,"(60, 2, 49)",60,2,49
3,2,"(160, 6, 41)",160,6,41
3,3,"(34, 35, 53)",34,35,53
3,4,"(20, 39, 51)",20,39,51
3,5,"(201, 37, 90)",201,37,90
3,6,"(203, 49, 87)",203,49,87
3,7,"(192, 50, 87)",192,50,87
3,8,"(189, 77, 79)",189,77,79
3,9,"(187, 75, 60)",187,75,60
4,0,"(50, 51, 96)",50,51,96
4,1,"(43, 50, 97)",43,50,97
4,2,"(42, 56, 95)",42,56,95
4,3,"(35, 42, 99)",35,42,99
4,4,"(38, 57, 96)",38,57,96
4,5,"(212, 39, 87)",212,39,87
4,6,"(220, 46, 78)",220,46,78
4,7,"(218, 66, 65)",218,66,65
4,8,"(205, 75, 60)",205,75,60
4,9,"(218, 63, 53)",218,63,53
5,0,"(24, 37, 95)",24,37,95
5,1,"(20, 55, 98)",20,55,98
5,2,"(11, 48, 96)",11,48,96
5,3,"(3, 58, 95)",3,58,95
5,4,"(1, 62, 91)",1,62,91
5,5,"(253, 20, 82)",253,20,82
5,6,"(261, 31, 75)",261,31,75
5,7,"(261, 41, 52)",261,41,52
6,0,"(353, 34, 95)",353,34,95
6,1,"(1, 36, 96)",1,36,96
6,2,"(0, 47, 96)",0,47,96
6,3,"(355, 58, 95)",355,58,95
6,4,"(352, 66, 91)",352,66,91
