row,column,hsv,h,s,v
0,0,"(72, 2, 86)",72,2,86
0,1,"(53, 8, 88)",53,8,88
0,2,"(45, 7, 86)",45,7,86
0,3,"(64, 6, 94)",64,6,94
0,4,"(56, 14, 77)",56,14,77
0,5,"(47, 15, 72)",47,15,72
0,6,"(18, 22, 95)",18,22,95
0,7,"(6, 37, 98)",6,37,98
0,8,"(1, 43, 90)",1,43,90
0,9,"(10, 16, 100)",10,16,100
1,0,"(60, 5, 77)",60,5,77
1,1,"(51, 9, 60)",51,9,60
1,2,"(45, 12, 40)",45,12,40
1,3,"(72, 2, 89)",72,2,89
1,4,"(160, 7, 52)",160,7,52
1,5,"(180, 9, 26)",180,9,26
1,6,"(348, 27, 100)",348,27,100
1,7,"(349, 35, 100)",349,35,100
1,8,"(349, 51, 90)",349,51,90
1,9,"(7, 13, 100)",7,13,100
2,0,"(62, 20, 65)",62,20,65
2,1,"(62, 27, 49)",62,27,49
2,2,"(44, 18, 33)",44,18,33
2,3,"(73, 10, 90)",73,10,90
2,4,"(86, 20, 58)",86,20,58
2,5,"(86, 21, 27)",86,21,27
2,6,"(156, 29, 83)",156,29,83
2,7,"(160, 35, 73)",160,35,73
2,8,"(157, 44, 52)",157,44,52
2,9,"(172, 17, 100)",172,17,100
3,0,"(31, 38, 84)",31,38,84
3,1,"(27, 42, 76)",27,42,76
3,2,"(29, 34, 60)",29,34,60
3,3,"(31, 15, 90)",31,15,90
3,4,"(31, 32, 43)",31,32,43
3,5,"(0, 21, 26)",0,21,26
3,6,"(174, 54, 76)",174,54,76
3,7,"(172, 63, 64)",172,63,64
3,8,"(174, 79, 38)",174,79,38
3,9,"(176, 16, 100)",176,16,100
4,0,"(14, 40, 56)",14,40,56
4,1,"(357, 41, 54)",357,41,54
4,2,"(352, 55, 43)",352,55,43
4,3,"(7, 11, 87)",7,11,87
4,4,"(3, 27, 30)",3,27,30
4,5,"(340, 39, 30)",340,39,30
4,6,"(197, 53, 80)",197,53,80
4,7,"(207, 69, 68)",207,69,68
4,8,"(206, 75, 43)",206,75,43
4,9,"(196, 16, 100)",196,16,100
5,0,"(41, 34, 91)",41,34,91
5,1,"(32, 36, 95)",32,36,95
5,2,"(36, 46, 95)",36,46,95
5,3,"(41, 20, 99)",41,20,99
5,4,"(35, 39, 85)",35,39,85
5,5,"(38, 42, 78)",38,42,78
5,6,"(231, 29, 75)",231,29,75
5,7,"(233, 41, 58)",233,41,58
6,0,"(2, 36, 92)",2,36,92
6,1,"(359, 47, 91)",359,47,91
6,2,"(352, 58, 72)",352,58,72
6,3,"(1, 20, 100)",1,20,100
6,4,"(7, 43, 82)",7,43,82
