row,column,hsv,h,s,v
0,0,"(53, 8, 87)",53,8,87
0,1,"(39, 12, 87)",39,12,87
0,2,"(60, 6, 77)",60,6,77
0,3,"(19, 12, 61)",19,12,61
0,4,"(19, 17, 45)",19,17,45
0,5,"(51, 30, 89)",51,30,89
0,6,"(52, 37, 84)",52,37,84
0,7,"(137, 29, 75)",137,29,75
0,8,"(155, 35, 58)",155,35,58
0,9,"(159, 37, 34)",159,37,34
1,0,"(32, 8, 77)",32,8,77
1,1,"(37, 14, 69)",37,14,69
1,2,"(25, 15, 56)",25,15,56
1,3,"(15, 25, 56)",15,25,56
1,4,"(354, 24, 31)",354,24,31
1,5,"(165, 33, 74)",165,33,74
1,6,"(159, 43, 63)",159,43,63
1,7,"(160, 42, 44)",160,42,44
1,8,"(171, 48, 51)",171,48,51
1,9,"(173, 43, 32)",173,43,32
2,0,"(60, 1, 69)",60,1,69
2,1,"(220, 3, 43)",220,3,43
2,2,"(50, 5, 49)",50,5,49
2,3,"(12, 11, 37)",12,11,37
2,4,"(330, 3, 25)",330,3,25
2,5,"(187, 39, 77)",187,39,77
2,6,"(188, 45, 63)",188,45,63
2,7,"(187, 40, 48)",187,40,48
2,8,"(177, 39, 56)",177,39,56
2,9,"(185, 52, 34)",185,52,34
3,0,"(354, 24, 96)",354,24,96
3,1,"(3, 31, 89)",3,31,89
3,2,"(359, 31, 78)",359,31,78
3,3,"(355, 29, 71)",355,29,71
3,4,"(348, 51, 44)",348,51,44
3,5,"(192, 29, 80)",192,29,80
3,6,"(190, 38, 71)",190,38,71
3,7,"(193, 50, 56)",193,50,56
3,8,"(203, 44, 58)",203,44,58
3,9,"(203, 43, 33)",203,43,33
4,0,"(353, 37, 98)",353,37,98
4,1,"(352, 50, 97)",352,50,97
4,2,"(350, 61, 89)",350,61,89
4,3,"(347, 65, 76)",347,65,76
4,4,"(351, 64, 60)",351,64,60
4,5,"(220, 17, 77)",220,17,77
4,6,"(227, 25, 71)",227,25,71
4,7,"(234, 26, 63)",234,26,63
4,8,"(231, 27, 49)",231,27,49
4,9,"(237, 28, 29)",237,28,29
5,0,"(341, 36, 98)",341,36,98
5,1,"(347, 45, 92)",347,45,92
5,2,"(343, 63, 85)",343,63,85
5,3,"(345, 66, 64)",345,66,64
5,4,"(345, 50, 38)",345,50,38
5,5,"(249, 11, 69)",249,11,69
5,6,"(249, 13, 56)",249,13,56
5,7,"(283, 20, 35)",283,20,35
5,8,"(220, 2, 69)",220,2,69
6,0,"(340, 30, 90)",340,30,90
6,1,"(341, 33, 81)",341,33,81
6,2,"(345, 36, 69)",345,36,69
6,3,"(340, 46, 53)",340,46,53
6,4,"(323, 36, 31)",323,36,31
