row,column,hsv,h,s,v
0,0,"(36, 16, 92)",36,16,92
0,1,"(35, 17, 88)",35,17,88
0,2,"(39, 16, 82)",39,16,82
0,3,"(43, 25, 93)",43,25,93
0,4,"(40, 36, 94)",40,36,94
0,5,"(15, 51, 100)",15,51,100
0,6,"(1, 55, 98)",1,55,98
0,7,"(2, 55, 98)",2,55,98
0,8,"(3, 68, 93)",3,68,93
0,9,"(357, 78, 82)",357,78,82
1,0,"(21, 22, 95)",21,22,95
1,1,"(16, 32, 97)",16,32,97
1,2,"(64, 7, 73)",64,7,73
1,3,"(33, 8, 55)",33,8,55
1,4,"(3, 23, 35)",3,23,35
1,5,"(2, 42, 91)",2,42,91
1,6,"(353, 57, 91)",353,57,91
1,7,"(350, 66, 63)",350,66,63
1,8,"(354, 65, 45)",354,65,45
1,9,"(344, 46, 23)",344,46,23
2,0,"(67, 14, 75)",67,14,75
2,1,"(69, 15, 54)",69,15,54
2,2,"(34, 25, 54)",34,25,54
2,3,"(33, 21, 41)",33,21,41
2,4,"(42, 18, 29)",42,18,29
2,5,"(55, 32, 75)",55,32,75
2,6,"(71, 35, 65)",71,35,65
2,7,"(54, 58, 64)",54,58,64
2,8,"(47, 58, 42)",47,58,42
2,9,"(47, 41, 23)",47,41,23
3,0,"(33, 35, 80)",33,35,80
3,1,"(33, 38, 69)",33,38,69
3,2,"(28, 30, 47)",28,30,47
3,3,"(17, 30, 31)",17,30,31
3,4,"(348, 23, 26)",348,23,26
3,5,"(100, 40, 69)",100,40,69
3,6,"(108, 56, 44)",108,56,44
3,7,"(144, 66, 47)",144,66,47
3,8,"(148, 63, 33)",148,63,33
3,9,"(145, 44, 21)",145,44,21
4,0,"(25, 43, 92)",25,43,92
4,1,"(17, 43, 85)",17,43,85
4,2,"(11, 50, 66)",11,50,66
4,3,"(3, 49, 51)",3,49,51
4,4,"(356, 42, 27)",356,42,27
4,5,"(184, 69, 72)",184,69,72
4,6,"(183, 74, 49)",183,74,49
4,7,"(189, 64, 78)",189,64,78
4,8,"(191, 80, 52)",191,80,52
4,9,"(192, 72, 33)",192,72,33
5,0,"(39, 58, 96)",39,58,96
5,1,"(32, 60, 96)",32,60,96
5,2,"(34, 58, 85)",34,58,85
5,3,"(32, 60, 70)",32,60,70
5,4,"(31, 53, 41)",31,53,41
5,5,"(215, 46, 68)",215,46,68
5,6,"(224, 53, 43)",224,53,43
5,7,"(265, 33, 54)",265,33,54
5,8,"(268, 33, 33)",268,33,33
6,0,"(24, 59, 95)",24,59,95
6,1,"(21, 67, 85)",21,67,85
6,2,"(15, 66, 87)",15,66,87
6,3,"(7, 69, 72)",7,69,72
6,4,"(1, 63, 50)",1,63,50
