row,column,hsv,h,s,v
0,0,"(52, 7, 86)",52,7,86
0,1,"(42, 6, 82)",42,6,82
0,2,"(51, 7, 75)",51,7,75
0,3,"(33, 8, 56)",33,8,56
0,4,"(21, 15, 38)",21,15,38
0,5,"(340, 23, 99)",340,23,99
0,6,"(336, 32, 92)",336,32,92
0,7,"(336, 35, 84)",336,35,84
0,8,"(331, 48, 71)",331,48,71
0,9,"(334, 65, 52)",334,65,52
1,0,"(53, 31, 91)",53,31,91
1,1,"(50, 32, 89)",50,32,89
1,2,"(86, 10, 65)",86,10,65
1,3,"(76, 9, 51)",76,9,51
1,4,"(42, 11, 36)",42,11,36
1,5,"(162, 50, 78)",162,50,78
1,6,"(160, 62, 57)",160,62,57
1,7,"(163, 74, 47)",163,74,47
1,8,"(174, 79, 53)",174,79,53
1,9,"(177, 78, 35)",177,78,35
2,0,"(40, 2, 77)",40,2,77
2,1,"(5, 6, 73)",5,6,73
2,2,"(354, 7, 54)",354,7,54
2,3,"(340, 14, 44)",340,14,44
2,4,"(320, 8, 29)",320,8,29
2,5,"(170, 60, 81)",170,60,81
2,6,"(168, 72, 58)",168,72,58
2,7,"(160, 81, 53)",160,81,53
2,8,"(158, 81, 40)",158,81,40
2,9,"(152, 68, 28)",152,68,28
3,0,"(5, 5, 81)",5,5,81
3,1,"(19, 11, 69)",19,11,69
3,2,"(353, 17, 59)",353,17,59
3,3,"(346, 21, 39)",346,21,39
3,4,"(340, 22, 26)",340,22,26
3,5,"(193, 58, 87)",193,58,87
3,6,"(195, 75, 65)",195,75,65
3,7,"(182, 68, 74)",182,68,74
3,8,"(185, 77, 60)",185,77,60
3,9,"(190, 77, 41)",190,77,41
4,0,"(195, 11, 71)",195,11,71
4,1,"(209, 21, 61)",209,21,61
4,2,"(198, 14, 68)",198,14,68
4,3,"(208, 11, 48)",208,11,48
4,4,"(208, 17, 30)",208,17,30
4,5,"(204, 39, 89)",204,39,89
4,6,"(198, 52, 80)",198,52,80
4,7,"(204, 56, 72)",204,56,72
4,8,"(208, 67, 63)",208,67,63
4,9,"(212, 67, 42)",212,67,42
5,0,"(184, 18, 74)",184,18,74
5,1,"(182, 21, 55)",182,21,55
5,2,"(191, 47, 58)",191,47,58
5,3,"(189, 64, 48)",189,64,48
5,4,"(192, 65, 36)",192,65,36
5,5,"(230, 25, 82)",230,25,82
5,6,"(237, 30, 70)",237,30,70
5,7,"(243, 39, 47)",243,39,47
5,8,"(251, 40, 46)",251,40,46
6,0,"(351, 51, 95)",351,51,95
6,1,"(350, 65, 87)",350,65,87
6,2,"(347, 50, 88)",347,50,88
6,3,"(344, 64, 67)",344,64,67
6,4,"(344, 61, 45)",344,61,45
