row,column,hsv,h,s,v
0,0,"(40, 18, 95)",40,18,95
0,1,"(24, 18, 92)",24,18,92
0,2,"(36, 31, 96)",36,31,96
0,3,"(37, 27, 95)",37,27,95
0,4,"(40, 38, 84)",40,38,84
0,5,"(25, 41, 88)",25,41,88
0,6,"(132, 56, 82)",132,56,82
0,7,"(138, 65, 78)",138,65,78
0,8,"(162, 64, 80)",162,64,80
0,9,"(170, 27, 100)",170,27,100
1,0,"(86, 4, 76)",86,4,76
1,1,"(42, 11, 69)",42,11,69
1,2,"(51, 9, 60)",51,9,60
1,3,"(60, 4, 73)",60,4,73
1,4,"(32, 11, 53)",32,11,53
1,5,"(21, 16, 33)",21,16,33
1,6,"(166, 61, 82)",166,61,82
1,7,"(171, 74, 72)",171,74,72
1,8,"(176, 84, 76)",176,84,76
1,9,"(180, 31, 100)",180,31,100
2,0,"(50, 33, 84)",50,33,84
2,1,"(35, 35, 78)",35,35,78
2,2,"(29, 40, 72)",29,40,72
2,3,"(31, 25, 70)",31,25,70
2,4,"(31, 43, 41)",31,43,41
2,5,"(21, 41, 27)",21,41,27
2,6,"(10, 40, 95)",10,40,95
2,7,"(10, 63, 96)",10,63,96
2,8,"(4, 52, 96)",4,52,96
2,9,"(13, 16, 100)",13,16,100
3,0,"(21, 37, 96)",21,37,96
3,1,"(22, 51, 87)",22,51,87
3,2,"(7, 54, 52)",7,54,52
3,3,"(12, 28, 71)",12,28,71
3,4,"(16, 42, 43)",16,42,43
3,5,"(4, 51, 37)",4,51,37
3,6,"(212, 33, 90)",212,33,90
3,7,"(214, 47, 82)",214,47,82
3,8,"(218, 56, 77)",218,56,77
3,9,"(180, 18, 100)",180,18,100
4,0,"(38, 41, 93)",38,41,93
4,1,"(47, 48, 94)",47,48,94
4,2,"(42, 52, 95)",42,52,95
4,3,"(43, 43, 96)",43,43,96
4,4,"(40, 55, 88)",40,55,88
4,5,"(33, 67, 97)",33,67,97
4,6,"(288, 30, 83)",288,30,83
4,7,"(277, 43, 72)",277,43,72
4,8,"(271, 54, 53)",271,54,53
5,0,"(70, 47, 85)",70,47,85
5,1,"(71, 64, 76)",71,64,76
5,2,"(71, 62, 61)",71,62,61
5,3,"(128, 30, 78)",128,30,78
5,4,"(129, 55, 62)",129,55,62
5,5,"(137, 67, 44)",137,67,44
5,6,"(353, 71, 82)",353,71,82
5,7,"(60, 10, 49)",60,10,49
5,8,"(20, 34, 95)",20,34,95
5,9,"(39, 27, 100)",39,27,100
6,0,"(117, 47, 85)",117,47,85
6,1,"(117, 61, 81)",117,61,81
6,2,"(128, 77, 59)",128,77,59
6,3,"(147, 42, 77)",147,42,77
6,4,"(149, 80, 45)",149,80,45
