row,column,lab,l,a,b
0,0,"(89.89, -1.88, 7.53)",89.89,-1.88,7.53
0,1,"(87.39, -0.64, 9.67)",87.39,-0.64,9.67
0,2,"(86.99, 0.17, 15.98)",86.99,0.17,15.98
0,3,"(82.01, 0.81, 10.31)",82.01,0.81,10.31
0,4,"(78.7, -4.39, 8.03)",78.7,-4.39,8.03
0,5,"(75.2, 43.8, -8.28)",75.2,43.8,-8.28
0,6,"(69.31, 53.67, -8.23)",69.31,53.67,-8.23
0,7,"(56.43, 67.75, -2.98)",56.43,67.75,-2.98
0,8,"(63.18, 61.73, -2.11)",63.18,61.73,-2.11
0,9,"(45.78, 61.48, 7.5)",45.78,61.48,7.5
1,0,"(71.06, -1.58, 0.03)",71.06,-1.58,0.03
1,1,"(64.61, -4.16, 1.5)",64.61,-4.16,1.5
1,2,"(39.61, -2.73, 0.34)",39.61,-2.73,0.34
1,3,"(27.05, -3.88, -0.64)",27.05,-3.88,-0.64
1,4,"(12.19, 0.0, 0.0)",12.19,0.0,0.0
1,5,"(83.19, -23.78, 47.22)",83.19,-23.78,47.22
1,6,"(70.71, -32.3, 51.27)",70.71,-32.3,51.27
1,7,"(55.79, -40.67, 42.64)",55.79,-40.67,42.64
1,8,"(41.69, -34.78, 29.03)",41.69,-34.78,29.03
1,9,"(28.34, -20.91, 14.41)",28.34,-20.91,14.41
2,0,"(74.06, -0.19, 5.06)",74.06,-0.19,5.06
2,1,"(40.84, 2.34, 6.59)",40.84,2.34,6.59
2,2,"(18.58, 2.78, 1.03)",18.58,2.78,1.03
2,3,"(35.19, 3.23, -38.88)",35.19,3.23,-38.88
2,4,"(26.7, 1.58, -28.5)",26.7,1.58,-28.5
2,5,"(71.07, -59.09, 33.09)",71.07,-59.09,33.09
2,6,"(52.2, -46.86, 25.95)",52.2,-46.86,25.95
2,7,"(39.0, -36.59, 19.95)",39.0,-36.59,19.95
2,8,"(60.91, -50.42, 22.33)",60.91,-50.42,22.33
2,9,"(33.45, -28.55, 10.14)",33.45,-28.55,10.14
3,0,"(88.42, -5.91, 27.28)",88.42,-5.91,27.28
3,1,"(85.38, 15.16, 12.38)",85.38,15.16,12.38
3,2,"(85.95, -23.11, -0.8)",85.95,-23.11,-0.8
3,3,"(86.71, -17.19, -12.27)",86.71,-17.19,-12.27
3,4,"(78.7, 6.3, -21.53)",78.7,6.3,-21.53
3,5,"(78.34, -35.67, -11.89)",78.34,-35.67,-11.89
3,6,"(67.63, -36.16, -10.12)",67.63,-36.16,-10.12
3,7,"(50.05, -30.5, -3.73)",50.05,-30.5,-3.73
3,8,"(64.94, -28.33, -18.58)",64.94,-28.33,-18.58
3,9,"(38.04, -18.64, -12.16)",38.04,-18.64,-12.16
4,0,"(85.46, 2.77, 60.34)",85.46,2.77,60.34
4,1,"(82.54, 9.28, 51.91)",82.54,9.28,51.91
4,2,"(74.36, 14.33, 59.69)",74.36,14.33,59.69
4,3,"(67.5, 20.28, 44.16)",67.5,20.28,44.16
4,4,"(42.58, 45.77, 31.67)",42.58,45.77,31.67
4,5,"(62.8, -9.08, -36.75)",62.8,-9.08,-36.75
4,6,"(45.94, 3.28, -47.06)",45.94,3.28,-47.06
4,7,"(57.48, 30.41, -36.28)",57.48,30.41,-36.28
4,8,"(41.22, 31.55, -40.28)",41.22,31.55,-40.28
4,9,"(24.29, 23.12, -37.33)",24.29,23.12,-37.33
5,0,"(77.14, 29.31, 10.27)",77.14,29.31,10.27
5,1,"(70.33, 41.7, 23.28)",70.33,41.7,23.28
5,2,"(57.33, 58.91, 30.75)",57.33,58.91,30.75
5,3,"(66.3, 47.56, 37.45)",66.3,47.56,37.45
5,4,"(53.16, 61.8, 33.84)",53.16,61.8,33.84
5,5,"(69.35, 45.36, -12.27)",69.35,45.36,-12.27
5,6,"(55.29, 59.81, -9.11)",55.29,59.81,-9.11
5,7,"(33.08, 45.67, -7.36)",33.08,45.67,-7.36
6,0,"(75.66, 34.05, -0.62)",75.66,34.05,-0.62
6,1,"(69.04, 47.08, 2.47)",69.04,47.08,2.47
6,2,"(52.76, 60.39, 13.62)",52.76,60.39,13.62
6,3,"(67.36, 50.97, 12.52)",67.36,50.97,12.52
6,4,"(50.67, 61.03, 19.62)",50.67,61.03,19.62
