row,column,lab,l,a,b
0,0,"(100.0, 0.0, 0.0)",100.0,0.0,0.0
0,1,"(89.61, -1.39, 6.08)",89.61,-1.39,6.08
0,2,"(81.74, -1.41, 3.97)",81.74,-1.41,3.97
0,3,"(64.67, -0.38, 2.22)",64.67,-0.38,2.22
0,4,"(39.47, 0.2, 3.3)",39.47,0.2,3.3
0,5,"(64.34, 50.67, -23.38)",64.34,50.67,-23.38
0,6,"(42.63, 47.75, -26.95)",42.63,47.75,-26.95
0,7,"(28.27, 34.33, -25.58)",28.27,34.33,-25.58
0,8,"(38.09, 27.2, -40.61)",38.09,27.2,-40.61
0,9,"(22.72, 19.41, -36.09)",22.72,19.41,-36.09
1,0,"(83.55, -0.86, 0.25)",83.55,-0.86,0.25
1,1,"(76.75, -2.42, 0.28)",76.75,-2.42,0.28
1,2,"(64.99, -4.16, 1.5)",64.99,-4.16,1.5
1,3,"(27.34, -2.41, -0.83)",27.34,-2.41,-0.83
1,4,"(6.43, 0.0, 0.0)",6.43,0.0,0.0
1,5,"(75.32, -55.09, 26.2)",75.32,-55.09,26.2
1,6,"(60.63, -53.84, 32.52)",60.63,-53.84,32.52
1,7,"(37.25, -34.33, 17.08)",37.25,-34.33,17.08
1,8,"(61.63, -39.14, 0.44)",61.63,-39.14,0.44
1,9,"(31.41, -20.83, -1.52)",31.41,-20.83,-1.52
2,0,"(90.32, -5.44, 29.95)",90.32,-5.44,29.95
2,1,"(86.84, 13.09, 5.44)",86.84,13.09,5.44
2,2,"(87.25, -17.64, -1.94)",87.25,-17.64,-1.94
2,3,"(88.37, 19.33, -7.55)",88.37,19.33,-7.55
2,4,"(84.96, 7.3, -12.95)",84.96,7.3,-12.95
2,5,"(78.44, -31.95, -16.53)",78.44,-31.95,-16.53
2,6,"(59.73, -29.86, -11.92)",59.73,-29.86,-11.92
2,7,"(74.68, -22.39, -28.16)",74.68,-22.39,-28.16
2,8,"(61.65, -16.2, -33.06)",61.65,-16.2,-33.06
2,9,"(37.46, -9.84, -24.34)",37.46,-9.84,-24.34
3,0,"(87.9, -5.2, 51.92)",87.9,-5.2,51.92
3,1,"(87.8, 0.67, 56.72)",87.8,0.67,56.72
3,2,"(84.52, 5.14, 57.03)",84.52,5.14,57.03
3,3,"(79.73, -32.33, 57.41)",79.73,-32.33,57.41
3,4,"(63.4, -26.86, 40.77)",63.4,-26.86,40.77
3,5,"(70.81, -9.39, -29.12)",70.81,-9.39,-29.12
3,6,"(34.92, 15.14, -47.69)",34.92,15.14,-47.69
3,7,"(59.8, -1.38, -35.81)",59.8,-1.38,-35.81
3,8,"(37.57, 12.25, -48.19)",37.57,12.25,-48.19
3,9,"(20.65, 9.22, -30.41)",20.65,9.22,-30.41
4,0,"(65.89, 46.88, 15.91)",65.89,46.88,15.91
4,1,"(54.71, 59.5, 24.75)",54.71,59.5,24.75
4,2,"(48.0, 60.69, 32.64)",48.0,60.69,32.64
4,3,"(51.53, 62.55, 10.66)",51.53,62.55,10.66
4,4,"(35.78, 48.38, 9.81)",35.78,48.38,9.81
4,5,"(53.16, 8.75, -42.89)",53.16,8.75,-42.89
4,6,"(34.92, 15.14, -47.69)",34.92,15.14,-47.69
4,7,"(18.76, 7.95, -25.48)",18.76,7.95,-25.48
4,8,"(13.69, 6.2, 0.91)",13.69,6.2,0.91
4,9,"(11.99, 3.36, -0.25)",11.99,3.36,-0.25
5,0,"(65.79, 52.02, -2.36)",65.79,52.02,-2.36
5,1,"(53.19, 59.5, 10.03)",53.19,59.5,10.03
5,2,"(55.56, 60.5, 14.19)",55.56,60.5,14.19
5,3,"(46.04, 63.12, 23.44)",46.04,63.12,23.44
5,4,"(30.34, 42.28, 12.72)",30.34,42.28,12.72
5,5,"(55.69, 20.16, -37.0)",55.69,20.16,-37.0
5,6,"(41.75, 23.0, -41.3)",41.75,23.0,-41.3
5,7,"(18.59, 13.58, -29.73)",18.59,13.58,-29.73
6,0,"(66.15, 54.36, -15.95)",66.15,54.36,-15.95
6,1,"(50.2, 58.09, -15.92)",50.2,58.09,-15.92
6,2,"(32.95, 45.11, -17.27)",32.95,45.11,-17.27
6,3,"(45.14, 60.48, -5.89)",45.14,60.48,-5.89
6,4,"(24.95, 34.45, -7.11)",24.95,34.45,-7.11
