row,column,lab,l,a,b
0,0,"(89.96, -1.39, 6.08)",89.96,-1.39,6.08
0,1,"(84.37, -1.5, 9.98)",84.37,-1.5,9.98
0,2,"(76.75, -1.42, 6.28)",76.75,-1.42,6.28
0,3,"(65.45, 0.97, 6.77)",65.45,0.97,6.77
0,4,"(52.53, 0.97, 4.0)",52.53,0.97,4.0
0,5,"(81.32, -37.67, 8.56)",81.32,-37.67,8.56
0,6,"(71.98, -52.28, 13.59)",71.98,-52.28,13.59
0,7,"(59.97, -41.5, 6.41)",59.97,-41.5,6.41
0,8,"(58.25, -44.34, 13.19)",58.25,-44.34,13.19
0,9,"(38.68, -28.34, 7.14)",38.68,-28.34,7.14
1,0,"(73.51, -2.08, -0.73)",73.51,-2.08,-0.73
1,1,"(60.49, -3.75, -0.7)",60.49,-3.75,-0.7
1,2,"(48.57, -2.22, -0.78)",48.57,-2.22,-0.78
1,3,"(60.19, -6.27, -6.89)",60.19,-6.27,-6.89
1,4,"(42.72, -6.09, -10.31)",42.72,-6.09,-10.31
1,5,"(80.1, -40.39, 3.55)",80.1,-40.39,3.55
1,6,"(72.43, -47.36, 3.48)",72.43,-47.36,3.48
1,7,"(75.54, -41.28, -5.92)",75.54,-41.28,-5.92
1,8,"(67.68, -39.23, -4.53)",67.68,-39.23,-4.53
1,9,"(47.68, -28.38, -3.11)",47.68,-28.38,-3.11
2,0,"(77.24, 1.05, 4.89)",77.24,1.05,4.89
2,1,"(52.68, 10.38, 2.08)",52.68,10.38,2.08
2,2,"(38.6, 7.38, 2.77)",38.6,7.38,2.77
2,3,"(33.83, 6.91, 1.94)",33.83,6.91,1.94
2,4,"(27.26, 15.34, -1.92)",27.26,15.34,-1.92
2,5,"(78.31, -24.12, -16.64)",78.31,-24.12,-16.64
2,6,"(67.95, -27.67, -18.94)",67.95,-27.67,-18.94
2,7,"(71.47, -36.56, -12.02)",71.47,-36.56,-12.02
2,8,"(59.99, -27.77, -14.34)",59.99,-27.77,-14.34
2,9,"(49.71, -20.19, -17.34)",49.71,-20.19,-17.34
3,0,"(88.19, 1.67, 23.5)",88.19,1.67,23.5
3,1,"(85.49, 1.97, 27.52)",85.49,1.97,27.52
3,2,"(87.18, -2.73, 39.98)",87.18,-2.73,39.98
3,3,"(89.08, 1.02, 41.66)",89.08,1.02,41.66
3,4,"(85.66, 4.62, 44.22)",85.66,4.62,44.22
3,5,"(78.14, -13.95, -22.69)",78.14,-13.95,-22.69
3,6,"(71.55, -11.14, -30.2)",71.55,-11.14,-30.2
3,7,"(58.2, -5.02, -38.38)",58.2,-5.02,-38.38
3,8,"(42.47, 0.36, -39.19)",42.47,0.36,-39.19
3,9,"(36.93, -1.94, -33.08)",36.93,-1.94,-33.08
4,0,"(68.93, 42.53, 15.7)",68.93,42.53,15.7
4,1,"(58.0, 57.8, 24.11)",58.0,57.8,24.11
4,2,"(63.34, 54.08, 18.39)",63.34,54.08,18.39
4,3,"(51.45, 63.72, 24.48)",51.45,63.72,24.48
4,4,"(43.63, 55.73, 16.56)",43.63,55.73,16.56
4,5,"(69.91, 2.36, -28.2)",69.91,2.36,-28.2
4,6,"(62.74, 4.88, -33.91)",62.74,4.88,-33.91
4,7,"(50.51, 8.16, -41.41)",50.51,8.16,-41.41
4,8,"(41.13, 5.27, -37.73)",41.13,5.27,-37.73
4,9,"(29.44, 7.77, -36.39)",29.44,7.77,-36.39
5,0,"(72.25, 38.5, 10.98)",72.25,38.5,10.98
5,1,"(65.7, 50.56, 11.73)",65.7,50.56,11.73
5,2,"(59.53, 59.34, 14.7)",59.53,59.34,14.7
5,3,"(55.83, 62.02, 18.19)",55.83,62.02,18.19
5,4,"(46.53, 62.89, 17.97)",46.53,62.89,17.97
5,5,"(58.65, 22.45, -32.83)",58.65,22.45,-32.83
5,6,"(42.83, 23.95, -34.78)",42.83,23.95,-34.78
5,7,"(34.17, 19.83, -32.34)",34.17,19.83,-32.34
6,0,"(76.6, 27.97, 4.5)",76.6,27.97,4.5
6,1,"(72.77, 37.89, -1.59)",72.77,37.89,-1.59
6,2,"(68.65, 49.12, 0.8)",68.65,49.12,0.8
6,3,"(56.02, 55.97, 2.0)",56.02,55.97,2.0
6,4,"(45.51, 46.03, 0.47)",45.51,46.03,0.47
