row,column,lab,l,a,b
0,0,"(87.44, -1.22, 2.33)",87.44,-1.22,2.33
0,1,"(88.17, -1.56, 6.59)",88.17,-1.56,6.59
0,2,"(85.9, -0.53, 5.89)",85.9,-0.53,5.89
0,3,"(77.17, -3.58, 12.83)",77.17,-3.58,12.83
0,4,"(71.99, -2.27, 14.03)",71.99,-2.27,14.03
0,5,"(84.64, 12.25, 11.22)",84.64,12.25,11.22
0,6,"(76.43, 28.67, 18.5)",76.43,28.67,18.5
0,7,"(64.98, 40.72, 17.23)",64.98,40.72,17.23
0,8,"(50.82, 45.31, 21.64)",50.82,45.31,21.64
0,9,"(34.47, 42.81, 19.3)",34.47,42.81,19.3
1,0,"(78.71, -0.55, 4.88)",78.71,-0.55,4.88
1,1,"(62.66, -1.45, 6.55)",62.66,-1.45,6.55
1,2,"(42.29, -0.17, 4.38)",42.29,-0.17,4.38
1,3,"(56.35, -1.66, 0.03)",56.35,-1.66,0.03
1,4,"(27.78, -2.39, -0.83)",27.78,-2.39,-0.83
1,5,"(81.9, 27.75, 1.58)",81.9,27.75,1.58
1,6,"(76.91, 32.78, 5.08)",76.91,32.78,5.08
1,7,"(61.88, 49.39, 10.05)",61.88,49.39,10.05
1,8,"(49.1, 53.27, 14.62)",49.1,53.27,14.62
1,9,"(32.59, 36.38, 11.17)",32.59,36.38,11.17
2,0,"(67.55, -6.17, 17.45)",67.55,-6.17,17.45
2,1,"(51.86, -6.56, 18.59)",51.86,-6.56,18.59
2,2,"(33.72, 0.22, 7.98)",33.72,0.22,7.98
2,3,"(59.2, -12.56, 19.09)",59.2,-12.56,19.09
2,4,"(27.81, -5.42, 7.66)",27.81,-5.42,7.66
2,5,"(80.17, -24.89, 6.03)",80.17,-24.89,6.03
2,6,"(71.19, -27.2, 5.81)",71.19,-27.2,5.81
2,7,"(50.71, -24.92, 6.12)",50.71,-24.92,6.12
2,8,"(52.61, -29.03, -1.36)",52.61,-29.03,-1.36
2,9,"(24.4, -14.08, 0.53)",24.4,-14.08,0.53
3,0,"(73.49, 9.88, 26.27)",73.49,9.88,26.27
3,1,"(65.81, 7.41, 26.06)",65.81,7.41,26.06
3,2,"(52.92, 9.64, 19.92)",52.92,9.64,19.92
3,3,"(38.87, 7.28, 15.52)",38.87,7.28,15.52
3,4,"(23.56, 6.08, 3.02)",23.56,6.08,3.02
3,5,"(72.1, -33.94, -2.27)",72.1,-33.94,-2.27
3,6,"(61.07, -32.5, -1.44)",61.07,-32.5,-1.44
3,7,"(36.38, -23.05, -3.55)",36.38,-23.05,-3.55
3,8,"(42.3, -31.34, 11.66)",42.3,-31.34,11.66
3,9,"(23.02, -18.58, 9.72)",23.02,-18.58,9.72
4,0,"(45.97, 17.11, 14.98)",45.97,17.11,14.98
4,1,"(41.28, 25.02, 9.62)",41.28,25.02,9.62
4,2,"(28.86, 19.2, 12.41)",28.86,19.2,12.41
4,3,"(25.96, 14.78, 4.09)",25.96,14.78,4.09
4,4,"(23.35, 15.41, 0.89)",23.35,15.41,0.89
4,5,"(66.72, -14.75, -22.89)",66.72,-14.75,-22.89
4,6,"(48.73, -3.67, -33.92)",48.73,-3.67,-33.92
4,7,"(29.75, -0.97, -26.83)",29.75,-0.97,-26.83
4,8,"(47.78, 6.8, -33.58)",47.78,6.8,-33.58
4,9,"(19.87, 12.64, -27.66)",19.87,12.64,-27.66
5,0,"(83.37, 1.92, 29.78)",83.37,1.92,29.78
5,1,"(83.19, 9.12, 28.16)",83.19,9.12,28.16
5,2,"(82.83, 4.19, 31.17)",82.83,4.19,31.17
5,3,"(76.95, 6.7, 35.45)",76.95,6.7,35.45
5,4,"(70.75, 0.84, 29.98)",70.75,0.84,29.98
5,5,"(61.08, 7.86, -25.22)",61.08,7.86,-25.22
5,6,"(41.3, 9.41, -28.41)",41.3,9.41,-28.41
5,7,"(21.8, 7.7, -19.27)",21.8,7.7,-19.27
6,0,"(71.14, 29.88, 14.11)",71.14,29.88,14.11
6,1,"(63.32, 43.77, 19.17)",63.32,43.77,19.17
6,2,"(47.09, 42.42, 14.36)",47.09,42.42,14.36
6,3,"(61.46, 39.5, 20.92)",61.46,39.5,20.92
6,4,"(42.85, 33.58, 16.47)",42.85,33.58,16.47
