row,column,lab,l,a,b
0,0,"(87.92, 1.44, 13.12)",87.92,1.44,13.12
0,1,"(84.09, 1.83, 13.38)",84.09,1.83,13.38
0,2,"(79.85, 0.56, 12.5)",79.85,0.56,12.5
0,3,"(87.66, -0.7, 23.22)",87.66,-0.7,23.22
0,4,"(85.27, 2.3, 31.39)",85.27,2.3,31.39
0,5,"(74.31, 32.92, 31.89)",74.31,32.92,31.89
0,6,"(64.83, 50.95, 26.67)",64.83,50.95,26.67
0,7,"(64.64, 50.45, 27.52)",64.64,50.45,27.52
0,8,"(57.15, 57.56, 36.7)",57.15,57.56,36.7
0,9,"(46.82, 62.52, 35.88)",46.82,62.52,35.88
1,0,"(85.46, 9.36, 13.94)",85.46,9.36,13.94
1,1,"(81.17, 17.84, 19.12)",81.17,17.84,19.12
1,2,"(75.37, -2.83, 6.95)",75.37,-2.83,6.95
1,3,"(56.18, 0.75, 3.89)",56.18,0.75,3.89
1,4,"(31.66, 8.36, 3.88)",31.66,8.36,3.88
1,5,"(67.4, 35.56, 17.75)",67.4,35.56,17.75
1,6,"(59.19, 52.12, 16.89)",59.19,52.12,16.89
1,7,"(38.97, 44.72, 13.75)",38.97,44.72,13.75
1,8,"(27.65, 33.47, 13.14)",27.65,33.47,13.14
1,9,"(15.99, 14.11, 0.94)",15.99,14.11,0.94
2,0,"(76.74, -5.72, 13.23)",76.74,-5.72,13.23
2,1,"(56.29, -5.05, 11.14)",56.29,-5.05,11.14
2,2,"(51.95, 2.78, 12.56)",51.95,2.78,12.56
2,3,"(40.36, 1.84, 8.33)",40.36,1.84,8.33
2,4,"(29.74, -0.08, 6.03)",29.74,-0.08,6.03
2,5,"(74.63, -6.86, 28.98)",74.63,-6.86,28.98
2,6,"(65.58, -13.55, 28.97)",65.58,-13.55,28.97
2,7,"(62.46, -7.5, 45.16)",62.46,-7.5,45.16
2,8,"(40.08, -1.16, 29.69)",40.08,-1.16,29.69
2,9,"(22.55, -1.23, 12.72)",22.55,-1.23,12.72
3,0,"(72.55, 6.03, 24.3)",72.55,6.03,24.3
3,1,"(62.02, 6.03, 23.52)",62.02,6.03,23.52
3,2,"(43.99, 4.81, 12.42)",43.99,4.81,12.42
3,3,"(27.7, 6.19, 7.11)",27.7,6.19,7.11
3,4,"(22.9, 7.33, 0.7)",22.9,7.33,0.7
3,5,"(67.41, -28.67, 31.03)",67.41,-28.67,31.03
3,6,"(42.36, -29.94, 29.44)",42.36,-29.94,29.44
3,7,"(44.23, -35.38, 18.92)",44.23,-35.38,18.92
3,8,"(31.49, -24.92, 11.2)",31.49,-24.92,11.2
3,9,"(20.24, -13.09, 5.89)",20.24,-13.09,5.89
4,0,"(76.25, 16.28, 29.77)",76.25,16.28,29.77
4,1,"(67.97, 21.95, 24.03)",67.97,21.95,24.03
4,2,"(49.26, 26.36, 20.53)",49.26,26.36,20.53
4,3,"(36.69, 25.83, 13.58)",36.69,25.83,13.58
4,4,"(19.77, 13.86, 4.45)",19.77,13.86,4.45
4,5,"(65.62, -29.59, -13.64)",65.62,-29.59,-13.64
4,6,"(46.09, -23.62, -9.62)",46.09,-23.62,-9.62
4,7,"(67.76, -24.36, -19.19)",67.76,-24.36,-19.19
4,8,"(44.04, -17.66, -17.8)",44.04,-17.66,-17.8
4,9,"(27.5, -11.56, -11.84)",27.5,-11.56,-11.84
5,0,"(81.16, 8.02, 52.52)",81.16,8.02,52.52
5,1,"(77.15, 17.09, 49.3)",77.15,17.09,49.3
5,2,"(70.23, 12.02, 44.78)",70.23,12.02,44.78
5,3,"(57.52, 13.41, 38.41)",57.52,13.41,38.41
5,4,"(35.22, 7.42, 21.42)",35.22,7.42,21.42
5,5,"(52.4, 0.56, -28.06)",52.4,0.56,-28.06
5,6,"(28.99, 7.38, -26.7)",28.99,7.38,-26.7
5,7,"(42.4, 17.41, -22.33)",42.4,17.41,-22.33
5,8,"(25.87, 12.14, -14.73)",25.87,12.14,-14.73
6,0,"(71.5, 26.55, 42.94)",71.5,26.55,42.94
6,1,"(61.34, 32.25, 43.05)",61.34,32.25,43.05
6,2,"(59.41, 40.11, 39.91)",59.41,40.11,39.91
6,3,"(45.55, 44.89, 32.05)",45.55,44.89,32.05
6,4,"(31.57, 34.61, 18.7)",31.57,34.61,18.7
