row,column,lab,l,a,b
0,0,"(86.76, -1.56, 6.61)",86.76,-1.56,6.61
0,1,"(82.03, -0.19, 4.95)",82.03,-0.19,4.95
0,2,"(76.02, -1.42, 6.3)",76.02,-1.42,6.3
0,3,"(58.11, 0.75, 3.86)",58.11,0.75,3.86
0,4,"(37.55, 2.7, 4.22)",37.55,2.7,4.22
0,5,"(84.51, 23.08, -1.59)",84.51,23.08,-1.59
0,6,"(73.56, 32.31, -3.84)",73.56,32.31,-3.84
0,7,"(65.82, 32.61, -3.88)",65.82,32.61,-3.88
0,8,"(50.93, 40.36, -7.39)",50.93,40.36,-7.39
0,9,"(33.23, 40.5, -2.7)",33.23,40.5,-2.7
1,0,"(88.34, -6.69, 31.78)",88.34,-6.69,31.78
1,1,"(85.19, -4.75, 31.08)",85.19,-4.75,31.08
1,2,"(67.11, -5.44, 7.41)",67.11,-5.44,7.41
1,3,"(53.43, -3.31, 5.83)",53.43,-3.31,5.83
1,4,"(37.34, -0.17, 4.48)",37.34,-0.17,4.48
1,5,"(73.38, -36.03, 5.61)",73.38,-36.03,5.61
1,6,"(54.63, -34.78, 8.73)",54.63,-34.78,8.73
1,7,"(45.2, -32.27, 6.25)",45.2,-32.27,6.25
1,8,"(51.12, -31.17, -3.03)",51.12,-31.17,-3.03
1,9,"(33.39, -21.08, -4.27)",33.39,-21.08,-4.27
2,0,"(79.1, 0.0, 1.12)",79.1,0.0,1.12
2,1,"(72.18, 3.38, 1.78)",72.18,3.38,1.78
2,2,"(54.09, 3.97, 0.83)",54.09,3.97,0.83
2,3,"(42.13, 6.95, -0.61)",42.13,6.95,-0.61
2,4,"(29.46, 3.39, -1.47)",29.46,3.39,-1.47
2,5,"(75.67, -38.88, -0.28)",75.67,-38.88,-0.28
2,6,"(55.22, -35.03, 3.0)",55.22,-35.03,3.0
2,7,"(49.98, -38.91, 11.81)",49.98,-38.91,11.81
2,8,"(38.29, -31.66, 10.17)",38.29,-31.66,10.17
2,9,"(26.37, -22.17, 8.5)",26.37,-22.17,8.5
3,0,"(79.83, 3.31, 1.75)",79.83,3.31,1.75
3,1,"(68.24, 3.66, 4.8)",68.24,3.66,4.8
3,2,"(54.36, 10.78, 1.95)",54.36,10.78,1.95
3,3,"(35.33, 9.69, 0.44)",35.33,9.69,0.44
3,4,"(23.41, 7.69, -0.55)",23.41,7.69,-0.55
3,5,"(73.21, -21.42, -22.81)",73.21,-21.42,-22.81
3,6,"(52.47, -16.28, -24.11)",52.47,-16.28,-24.11
3,7,"(68.63, -31.44, -12.39)",68.63,-31.44,-12.39
3,8,"(54.32, -25.61, -13.81)",54.32,-25.61,-13.81
3,9,"(35.59, -15.8, -13.42)",35.59,-15.8,-13.42
4,0,"(71.15, -4.16, -4.31)",71.15,-4.16,-4.31
4,1,"(57.0, -2.62, -10.55)",57.0,-2.62,-10.55
4,2,"(66.99, -4.44, -5.61)",66.99,-4.44,-5.61
4,3,"(48.28, -1.3, -4.17)",48.28,-1.3,-4.17
4,4,"(29.21, -1.33, -4.53)",29.21,-1.33,-4.53
4,5,"(75.18, -8.53, -23.41)",75.18,-8.53,-23.41
4,6,"(66.47, -14.0, -23.27)",66.47,-14.0,-23.27
4,7,"(56.52, -8.05, -27.45)",56.52,-8.05,-27.45
4,8,"(44.69, -2.16, -32.69)",44.69,-2.16,-32.69
4,9,"(28.48, 1.02, -25.67)",28.48,1.02,-25.67
5,0,"(73.29, -9.95, -4.48)",73.29,-9.95,-4.48
5,1,"(56.17, -9.73, -3.84)",56.17,-9.73,-3.84
5,2,"(52.69, -14.84, -12.7)",52.69,-14.84,-12.7
5,3,"(42.75, -16.73, -12.84)",42.75,-16.73,-12.84
5,4,"(31.68, -12.05, -11.83)",31.68,-12.05,-11.83
5,5,"(69.1, 6.23, -22.8)",69.1,6.23,-22.8
5,6,"(54.7, 10.66, -27.2)",54.7,10.66,-27.2
5,7,"(33.05, 13.14, -26.45)",33.05,13.14,-26.45
5,9,"(73.95, 0.03, -1.12)",73.95,0.03,-1.12
6,0,"(64.72, 48.92, 12.53)",64.72,48.92,12.53
6,1,"(54.17, 57.53, 18.0)",54.17,57.53,18.0
6,2,"(60.86, 46.16, 6.7)",60.86,46.16,6.7
6,3,"(42.66, 47.34, 7.34)",42.66,47.34,7.34
6,4,"(28.85, 32.14, 4.19)",28.85,32.14,4.19
