row,column,lab,l,a,b
0,0,"(90.25, 0.52, 15.98)",90.25,0.52,15.98
0,1,"(85.55, 5.42, 10.8)",85.55,5.42,10.8
0,2,"(87.24, 6.61, 26.97)",87.24,6.61,26.97
0,3,"(79.0, 4.14, 40.7)",79.0,4.14,40.7
0,4,"(74.28, 11.38, 29.02)",74.28,11.38,29.02
0,5,"(75.16, -51.95, 35.58)",75.16,-51.95,35.58
0,6,"(70.33, -50.73, 31.27)",70.33,-50.73,31.27
0,7,"(74.85, -46.0, 9.2)",74.85,-46.0,9.2
0,8,"(59.06, -43.42, 11.0)",59.06,-43.42,11.0
0,9,"(43.96, -32.94, 6.81)",43.96,-32.94,6.81
1,0,"(78.3, -2.3, 3.14)",78.3,-2.3,3.14
1,1,"(69.36, 0.03, 6.94)",69.36,0.03,6.94
1,2,"(61.94, -3.3, 8.28)",61.94,-3.3,8.28
1,3,"(50.63, 1.03, 6.5)",50.63,1.03,6.5
1,4,"(32.8, 3.84, 7.36)",32.8,3.84,7.36
1,5,"(76.14, -41.06, 3.61)",76.14,-41.06,3.61
1,6,"(68.14, -42.03, 1.62)",68.14,-42.03,1.62
1,7,"(71.91, -42.14, -4.86)",71.91,-42.14,-4.86
1,8,"(60.93, -35.52, -4.52)",60.93,-35.52,-4.52
1,9,"(54.0, -31.66, -6.28)",54.0,-31.66,-6.28
2,0,"(80.58, -4.44, 30.44)",80.58,-4.44,30.44
2,1,"(71.14, 3.03, 24.39)",71.14,3.03,24.39
2,2,"(63.17, 7.12, 30.62)",63.17,7.12,30.62
2,3,"(38.59, 8.98, 21.83)",38.59,8.98,21.83
2,4,"(22.69, 9.22, 9.25)",22.69,9.22,9.25
2,5,"(73.85, 27.19, 20.73)",73.85,27.19,20.73
2,6,"(63.87, 47.95, 38.03)",63.87,47.95,38.03
2,7,"(67.05, 46.83, 25.75)",67.05,46.83,25.75
2,8,"(54.44, 58.55, 33.67)",54.44,58.55,33.67
2,9,"(50.81, 63.77, 34.25)",50.81,63.77,34.25
3,0,"(79.87, 18.0, 24.23)",79.87,18.0,24.23
3,1,"(68.2, 19.47, 31.92)",68.2,19.47,31.92
3,2,"(38.69, 28.5, 24.48)",38.69,28.5,24.48
3,3,"(35.17, 24.78, 18.3)",35.17,24.78,18.3
3,4,"(25.79, 17.97, 10.59)",25.79,17.97,10.59
3,5,"(75.47, -3.45, -23.44)",75.47,-3.45,-23.44
3,6,"(63.25, 0.16, -33.7)",63.25,0.16,-33.7
3,7,"(53.28, 7.3, -41.58)",53.28,7.3,-41.58
3,8,"(41.6, 3.56, -45.3)",41.6,3.56,-45.3
3,9,"(27.86, 1.41, -31.12)",27.86,1.41,-31.12
4,0,"(82.97, 4.48, 35.53)",82.97,4.48,35.53
4,1,"(85.8, -1.0, 42.23)",85.8,-1.0,42.23
4,2,"(84.08, 0.28, 52.08)",84.08,0.28,52.08
4,3,"(79.17, 2.12, 60.77)",79.17,2.12,60.77
4,4,"(76.2, 8.45, 57.17)",76.2,8.45,57.17
4,5,"(67.82, 29.22, -23.89)",67.82,29.22,-23.89
4,6,"(52.36, 33.44, -32.94)",52.36,33.44,-32.94
4,7,"(33.7, 31.66, -34.84)",33.7,31.66,-34.84
4,8,"(30.18, 22.98, -41.91)",30.18,22.98,-41.91
5,0,"(83.51, -20.02, 46.78)",83.51,-20.02,46.78
5,1,"(74.71, -23.83, 56.66)",74.71,-23.83,56.66
5,2,"(61.54, -20.72, 48.62)",61.54,-20.72,48.62
5,3,"(60.85, -52.8, 40.3)",60.85,-52.8,40.3
5,4,"(40.88, -34.52, 23.62)",40.88,-34.52,23.62
5,5,"(48.27, 56.44, 24.45)",48.27,56.44,24.45
5,6,"(51.89, 1.25, 7.16)",51.89,1.25,7.16
5,7,"(80.16, 16.52, 21.39)",80.16,16.52,21.39
5,8,"(75.83, 12.08, 45.42)",75.83,12.08,45.42
5,9,"(41.75, 1.84, -43.3)",41.75,1.84,-43.3
6,0,"(78.8, -48.89, 40.89)",78.8,-48.89,40.89
6,1,"(72.91, -54.2, 49.11)",72.91,-54.2,49.11
6,2,"(55.97, -54.19, 44.19)",55.97,-54.19,44.19
6,3,"(47.2, -44.56, 26.03)",47.2,-44.56,26.03
6,4,"(44.58, -37.98, 13.55)",44.58,-37.98,13.55
