row,column,lab,l,a,b
0,0,"(97.12, 0.36, -0.95)",97.12,0.36,-0.95
0,1,"(30.77, 2.83, 4.38)",30.77,2.83,4.38
0,2,"(21.15, 0.11, -1.39)",21.15,0.11,-1.39
0,3,"(94.31, -5.25, 36.02)",94.31,-5.25,36.02
0,4,"(44.35, 57.0, 7.06)",44.35,57.0,7.06
0,5,"(63.5, -44.95, 27.55)",63.5,-44.95,27.55
0,6,"(37.07, -27.48, 1.11)",37.07,-27.48,1.11
0,7,"(47.09, -0.03, -42.34)",47.09,-0.03,-42.34
0,8,"(29.77, 6.0, -21.64)",29.77,6.0,-21.64
0,9,"(33.01, 17.12, -23.31)",33.01,17.12,-23.31
1,0,"(92.59, -0.53, 5.8)",92.59,-0.53,5.8
1,1,"(31.54, 12.84, 3.8)",31.54,12.84,3.8
1,2,"(87.3, 14.59, -3.94)",87.3,14.59,-3.94
1,3,"(93.24, -8.47, 55.05)",93.24,-8.47,55.05
1,4,"(34.49, 56.97, 8.84)",34.49,56.97,8.84
1,5,"(50.01, -42.7, 20.34)",50.01,-42.7,20.34
1,6,"(65.89, -32.44, -14.38)",65.89,-32.44,-14.38
1,7,"(61.06, 1.66, -29.86)",61.06,1.66,-29.86
1,8,"(28.03, 10.2, -14.64)",28.03,10.2,-14.64
1,9,"(22.6, 19.3, -23.83)",22.6,19.3,-23.83
2,0,"(87.8, 0.0, 6.59)",87.8,0.0,6.59
2,1,"(22.83, 10.34, 2.72)",22.83,10.34,2.72
2,2,"(87.92, -9.94, 8.69)",87.92,-9.94,8.69
2,3,"(92.57, -8.7, 61.31)",92.57,-8.7,61.31
2,4,"(60.95, 52.36, -8.06)",60.95,52.36,-8.06
2,5,"(42.89, -29.75, 10.11)",42.89,-29.75,10.11
2,6,"(46.9, -22.39, -15.22)",46.9,-22.39,-15.22
2,7,"(41.96, 9.77, -41.7)",41.96,9.77,-41.7
2,8,"(26.33, 1.91, -18.73)",26.33,1.91,-18.73
2,9,"(57.97, 41.42, -13.5)",57.97,41.42,-13.5
3,0,"(61.98, 5.98, 4.55)",61.98,5.98,4.55
3,1,"(83.7, -0.36, 2.09)",83.7,-0.36,2.09
3,2,"(87.32, -9.48, -4.86)",87.32,-9.48,-4.86
3,3,"(91.21, -8.75, 66.2)",91.21,-8.75,66.2
3,4,"(47.93, 57.16, -3.48)",47.93,57.16,-3.48
3,5,"(33.45, -22.19, 5.89)",33.45,-22.19,5.89
3,6,"(75.39, -14.67, -25.88)",75.39,-14.67,-25.88
3,7,"(35.22, 13.62, -43.58)",35.22,13.62,-43.58
3,8,"(30.74, 15.62, -25.7)",30.74,15.62,-25.7
3,9,"(43.4, 41.28, -17.92)",43.4,41.28,-17.92
4,0,"(48.45, 5.44, 6.95)",48.45,5.44,6.95
4,1,"(76.29, -1.22, 1.27)",76.29,-1.22,1.27
4,2,"(87.66, -3.53, -10.59)",87.66,-3.53,-10.59
4,3,"(47.13, 62.27, 21.88)",47.13,62.27,21.88
4,4,"(45.97, 54.11, -10.58)",45.97,54.11,-10.58
4,5,"(26.98, -20.39, 4.89)",26.98,-20.39,4.89
4,6,"(55.4, -15.78, -30.45)",55.4,-15.78,-30.45
4,7,"(23.07, 9.08, -35.61)",23.07,9.08,-35.61
4,8,"(53.99, 23.48, -25.84)",53.99,23.48,-25.84
4,9,"(31.63, 33.72, -13.78)",31.63,33.72,-13.78
5,0,"(64.27, 4.3, 5.66)",64.27,4.3,5.66
5,1,"(60.44, -2.14, -0.75)",60.44,-2.14,-0.75
5,2,"(86.72, 1.95, -9.83)",86.72,1.95,-9.83
5,3,"(40.62, 64.48, 15.64)",40.62,64.48,15.64
5,4,"(40.7, 42.8, -6.39)",40.7,42.8,-6.39
5,5,"(62.74, -42.94, 8.72)",62.74,-42.94,8.72
5,6,"(45.88, -14.5, -25.61)",45.88,-14.5,-25.61
5,7,"(24.13, 9.5, -18.19)",24.13,9.5,-18.19
5,8,"(40.26, 30.94, -25.53)",40.26,30.94,-25.53
5,9,"(28.69, 21.97, -8.19)",28.69,21.97,-8.19
6,0,"(51.55, 3.67, 3.78)",51.55,3.67,3.78
6,1,"(37.94, -2.39, -2.77)",37.94,-2.39,-2.77
6,2,"(88.93, 12.31, -2.05)",88.93,12.31,-2.05
6,3,"(36.44, 58.8, 13.12)",36.44,58.8,13.12
6,4,"(33.58, 28.28, -6.33)",33.58,28.28,-6.33
6,5,"(50.87, -37.75, 10.78)",50.87,-37.75,10.78
6,6,"(64.16, -6.88, -31.8)",64.16,-6.88,-31.8
6,7,"(36.35, 4.53, -29.64)",36.35,4.53,-29.64
6,8,"(40.01, 18.45, -34.58)",40.01,18.45,-34.58
6,9,"(16.05, 24.77, -7.36)",16.05,24.77,-7.36
