row,column,rgb
0,0,"(255, 255, 255)"
0,1,"(224, 220, 211)"
0,2,"(196, 196, 186)"
0,3,"(156, 153, 146)"
0,4,"(111, 104, 98)"
0,5,"(31, 176, 121)"
0,6,"(21, 89, 64)"
0,7,"(26, 59, 52)"
0,8,"(41, 47, 37)"
0,9,"(48, 34, 33)"
1,0,"(206, 210, 211)"
1,1,"(195, 201, 201)"
1,2,"(154, 158, 157)"
1,3,"(60, 68, 70)"
1,4,"(0, 0, 0)"
1,5,"(52, 196, 171)"
1,6,"(21, 101, 88)"
1,7,"(36, 151, 170)"
1,8,"(21, 109, 123)"
1,9,"(25, 56, 61)"
2,0,"(238, 230, 165)"
2,1,"(237, 206, 211)"
2,2,"(183, 225, 213)"
2,3,"(170, 213, 230)"
2,4,"(188, 197, 230)"
2,5,"(85, 185, 221)"
2,6,"(21, 122, 164)"
2,7,"(21, 77, 102)"
2,8,"(27, 105, 151)"
2,9,"(28, 49, 68)"
3,0,"(249, 229, 117)"
3,1,"(250, 207, 112)"
3,2,"(241, 193, 109)"
3,3,"(133, 191, 81)"
3,4,"(65, 103, 44)"
3,5,"(103, 180, 226)"
3,6,"(26, 103, 159)"
3,7,"(87, 146, 238)"
3,8,"(31, 81, 142)"
3,9,"(28, 45, 75)"
4,0,"(209, 51, 76)"
4,1,"(228, 76, 101)"
4,2,"(248, 122, 159)"
4,3,"(222, 73, 115)"
4,4,"(122, 34, 56)"
4,5,"(176, 139, 190)"
4,6,"(154, 103, 159)"
4,7,"(81, 45, 81)"
4,8,"(42, 33, 50)"
4,9,"(44, 29, 34)"
5,0,"(178, 34, 57)"
5,1,"(142, 34, 57)"
5,2,"(156, 38, 50)"
5,3,"(114, 33, 48)"
5,4,"(87, 33, 46)"
5,5,"(230, 126, 161)"
5,6,"(142, 52, 80)"
5,7,"(54, 31, 39)"
6,0,"(236, 108, 123)"
6,1,"(221, 68, 89)"
6,2,"(129, 37, 50)"
6,3,"(97, 36, 41)"
6,4,"(50, 32, 32)"
