row,column,rgb
0,0,"(236, 220, 195)"
0,1,"(226, 213, 197)"
0,2,"(237, 216, 185)"
0,3,"(228, 209, 169)"
0,4,"(213, 189, 153)"
0,5,"(249, 181, 194)"
0,6,"(242, 127, 160)"
0,7,"(244, 90, 128)"
0,8,"(242, 118, 142)"
0,9,"(223, 63, 89)"
1,0,"(238, 199, 182)"
1,1,"(244, 180, 153)"
1,2,"(208, 202, 168)"
1,3,"(162, 165, 136)"
1,4,"(107, 110, 103)"
1,5,"(187, 218, 151)"
1,6,"(153, 206, 138)"
1,7,"(121, 196, 114)"
1,8,"(83, 185, 86)"
1,9,"(22, 163, 110)"
2,0,"(203, 197, 183)"
2,1,"(181, 177, 165)"
2,2,"(127, 123, 114)"
2,3,"(103, 98, 94)"
2,4,"(107, 87, 76)"
2,5,"(127, 206, 203)"
2,6,"(78, 194, 191)"
2,7,"(115, 200, 177)"
2,8,"(48, 186, 160)"
2,9,"(52, 136, 120)"
3,0,"(180, 182, 179)"
3,1,"(124, 124, 122)"
3,2,"(98, 104, 102)"
3,3,"(135, 115, 88)"
3,4,"(129, 96, 79)"
3,5,"(144, 199, 229)"
3,6,"(112, 179, 221)"
3,7,"(112, 200, 222)"
3,8,"(47, 177, 201)"
3,9,"(38, 140, 154)"
4,0,"(245, 224, 119)"
4,1,"(248, 212, 124)"
4,2,"(242, 202, 106)"
4,3,"(253, 209, 146)"
4,4,"(246, 195, 106)"
4,5,"(135, 176, 222)"
4,6,"(106, 136, 198)"
4,7,"(57, 97, 167)"
4,8,"(39, 107, 154)"
4,9,"(50, 81, 135)"
5,0,"(242, 188, 152)"
5,1,"(249, 158, 111)"
5,2,"(246, 150, 128)"
5,3,"(241, 108, 101)"
5,4,"(231, 89, 87)"
5,5,"(176, 167, 210)"
5,6,"(152, 131, 190)"
5,7,"(97, 78, 133)"
6,0,"(241, 160, 169)"
6,1,"(246, 158, 157)"
6,2,"(244, 130, 130)"
6,3,"(241, 101, 112)"
6,4,"(231, 79, 100)"
