row,column,rgb
0,0,"(219, 220, 215)"
0,1,"(224, 222, 207)"
0,2,"(219, 215, 203)"
0,3,"(239, 240, 226)"
0,4,"(196, 194, 169)"
0,5,"(183, 177, 155)"
0,6,"(242, 205, 189)"
0,7,"(251, 167, 157)"
0,8,"(229, 131, 130)"
0,9,"(255, 221, 214)"
1,0,"(196, 196, 186)"
1,1,"(153, 151, 139)"
1,2,"(102, 99, 90)"
1,3,"(227, 228, 223)"
1,4,"(124, 133, 130)"
1,5,"(61, 67, 67)"
1,6,"(255, 186, 200)"
1,7,"(254, 166, 182)"
1,8,"(229, 113, 134)"
1,9,"(255, 227, 223)"
2,0,"(166, 167, 133)"
2,1,"(125, 126, 92)"
2,2,"(85, 81, 70)"
2,3,"(225, 230, 207)"
2,4,"(134, 147, 117)"
2,5,"(62, 68, 54)"
2,6,"(150, 212, 187)"
2,7,"(122, 187, 165)"
2,8,"(74, 132, 110)"
2,9,"(211, 255, 249)"
3,0,"(213, 174, 133)"
3,1,"(195, 151, 114)"
3,2,"(152, 126, 101)"
3,3,"(230, 213, 195)"
3,4,"(110, 93, 75)"
3,5,"(67, 53, 53)"
3,6,"(89, 193, 182)"
3,7,"(60, 162, 148)"
3,8,"(20, 97, 89)"
3,9,"(214, 255, 252)"
4,0,"(142, 98, 85)"
4,1,"(137, 81, 84)"
4,2,"(110, 49, 57)"
4,3,"(223, 202, 199)"
4,4,"(77, 57, 56)"
4,5,"(77, 47, 57)"
4,6,"(96, 173, 203)"
4,7,"(53, 120, 173)"
4,8,"(28, 74, 110)"
4,9,"(213, 244, 255)"
5,0,"(231, 206, 152)"
5,1,"(242, 201, 155)"
5,2,"(243, 198, 131)"
5,3,"(253, 237, 203)"
5,4,"(218, 182, 132)"
5,5,"(200, 169, 115)"
5,6,"(137, 145, 192)"
5,7,"(87, 94, 148)"
6,0,"(234, 153, 150)"
6,1,"(232, 122, 123)"
6,2,"(184, 78, 92)"
6,3,"(255, 205, 204)"
6,4,"(210, 130, 119)"
