row,column,rgb
0,0,"(223, 221, 206)"
0,1,"(221, 212, 195)"
0,2,"(197, 197, 185)"
0,3,"(156, 143, 137)"
0,4,"(115, 102, 96)"
0,5,"(227, 217, 158)"
0,6,"(213, 203, 134)"
0,7,"(137, 192, 153)"
0,8,"(95, 147, 125)"
0,9,"(55, 87, 76)"
1,0,"(196, 189, 181)"
1,1,"(175, 166, 151)"
1,2,"(142, 129, 120)"
1,3,"(143, 116, 107)"
1,4,"(80, 61, 63)"
1,5,"(127, 189, 174)"
1,6,"(91, 161, 137)"
1,7,"(65, 112, 96)"
1,8,"(67, 130, 121)"
1,9,"(47, 82, 78)"
2,0,"(176, 176, 174)"
2,1,"(106, 107, 109)"
2,2,"(124, 123, 118)"
2,3,"(94, 86, 84)"
2,4,"(65, 63, 64)"
2,5,"(120, 187, 196)"
2,6,"(88, 151, 160)"
2,7,"(73, 116, 122)"
2,8,"(87, 142, 139)"
2,9,"(41, 82, 86)"
3,0,"(244, 185, 191)"
3,1,"(228, 160, 157)"
3,2,"(200, 138, 139)"
3,3,"(181, 129, 133)"
3,4,"(113, 55, 67)"
3,5,"(144, 192, 204)"
3,6,"(113, 170, 181)"
3,7,"(72, 128, 143)"
3,8,"(82, 122, 147)"
3,9,"(47, 69, 83)"
4,0,"(251, 158, 169)"
4,1,"(248, 123, 139)"
4,2,"(227, 88, 111)"
4,3,"(195, 68, 95)"
4,4,"(153, 55, 70)"
4,5,"(164, 175, 197)"
4,6,"(136, 146, 181)"
4,7,"(119, 123, 161)"
4,8,"(90, 95, 124)"
4,9,"(53, 54, 74)"
5,0,"(250, 160, 188)"
5,1,"(234, 128, 151)"
5,2,"(217, 81, 119)"
5,3,"(162, 55, 81)"
5,4,"(96, 48, 60)"
5,5,"(159, 156, 175)"
5,6,"(128, 125, 144)"
5,7,"(85, 72, 90)"
6,0,"(229, 161, 184)"
6,1,"(206, 138, 159)"
6,2,"(176, 112, 128)"
6,3,"(136, 73, 94)"
6,4,"(80, 51, 69)"
