row,column,rgb
0,0,"(242, 227, 198)"
0,1,"(235, 209, 192)"
0,2,"(246, 215, 169)"
0,3,"(243, 218, 177)"
0,4,"(215, 188, 133)"
0,5,"(225, 171, 133)"
0,6,"(91, 209, 115)"
0,7,"(70, 199, 109)"
0,8,"(74, 204, 166)"
0,9,"(185, 255, 243)"
1,0,"(192, 195, 188)"
1,1,"(175, 169, 155)"
1,2,"(152, 150, 138)"
1,3,"(185, 185, 177)"
1,4,"(135, 128, 120)"
1,5,"(85, 76, 71)"
1,6,"(82, 209, 179)"
1,7,"(47, 184, 164)"
1,8,"(31, 195, 184)"
1,9,"(176, 255, 255)"
2,0,"(213, 201, 143)"
2,1,"(199, 170, 130)"
2,2,"(183, 145, 109)"
2,3,"(178, 156, 133)"
2,4,"(105, 83, 60)"
2,5,"(69, 51, 41)"
2,6,"(243, 162, 145)"
2,7,"(246, 116, 90)"
2,8,"(246, 127, 119)"
2,9,"(255, 224, 215)"
3,0,"(245, 186, 154)"
3,1,"(223, 150, 109)"
3,2,"(133, 70, 61)"
3,3,"(180, 140, 130)"
3,4,"(109, 75, 63)"
3,5,"(94, 49, 46)"
3,6,"(154, 189, 229)"
3,7,"(112, 155, 210)"
3,8,"(87, 127, 197)"
3,9,"(210, 255, 255)"
4,0,"(238, 202, 140)"
4,1,"(240, 215, 125)"
4,2,"(242, 205, 116)"
4,3,"(246, 217, 141)"
4,4,"(225, 184, 102)"
4,5,"(247, 172, 81)"
4,6,"(198, 148, 211)"
4,7,"(154, 105, 184)"
4,8,"(100, 62, 135)"
5,0,"(201, 218, 116)"
5,1,"(173, 195, 71)"
5,2,"(139, 156, 60)"
5,3,"(140, 200, 148)"
5,4,"(71, 157, 84)"
5,5,"(37, 111, 58)"
5,6,"(208, 61, 77)"
5,7,"(125, 125, 113)"
5,8,"(242, 188, 160)"
5,9,"(255, 231, 185)"
6,0,"(119, 217, 114)"
6,1,"(87, 206, 80)"
6,2,"(35, 151, 50)"
6,3,"(113, 196, 150)"
6,4,"(23, 115, 68)"
