row,column,rgb
0,0,"(255, 255, 255)"
0,1,"(226, 223, 218)"
0,2,"(209, 209, 199)"
0,3,"(156, 147, 140)"
0,4,"(119, 111, 108)"
0,5,"(254, 194, 232)"
0,6,"(254, 152, 218)"
0,7,"(250, 120, 184)"
0,8,"(248, 99, 180)"
0,9,"(168, 42, 106)"
1,0,"(206, 210, 211)"
1,1,"(186, 192, 192)"
1,2,"(138, 148, 147)"
1,3,"(59, 67, 69)"
1,4,"(14, 14, 14)"
1,5,"(255, 146, 193)"
1,6,"(245, 93, 140)"
1,7,"(247, 92, 158)"
1,8,"(166, 49, 104)"
1,9,"(84, 35, 57)"
2,0,"(245, 212, 221)"
2,1,"(251, 240, 151)"
2,2,"(176, 232, 197)"
2,3,"(167, 232, 238)"
2,4,"(201, 212, 240)"
2,5,"(245, 157, 207)"
2,6,"(220, 88, 146)"
2,7,"(166, 49, 104)"
2,8,"(117, 36, 68)"
2,9,"(59, 35, 49)"
3,0,"(250, 235, 116)"
3,1,"(253, 229, 95)"
3,2,"(255, 217, 92)"
3,3,"(221, 53, 76)"
3,4,"(173, 39, 66)"
3,5,"(200, 129, 207)"
3,6,"(137, 80, 161)"
3,7,"(93, 52, 118)"
3,8,"(161, 87, 164)"
3,9,"(69, 41, 89)"
4,0,"(50, 197, 116)"
4,1,"(23, 182, 100)"
4,2,"(18, 123, 67)"
4,3,"(18, 92, 59)"
4,4,"(28, 55, 46)"
4,5,"(123, 53, 105)"
4,6,"(90, 55, 113)"
4,7,"(56, 58, 117)"
4,8,"(47, 44, 91)"
4,9,"(28, 47, 79)"
5,0,"(24, 190, 142)"
5,1,"(18, 123, 93)"
5,2,"(18, 74, 63)"
5,3,"(38, 172, 183)"
5,4,"(19, 103, 114)"
5,5,"(59, 102, 180)"
5,6,"(32, 65, 142)"
5,7,"(35, 45, 81)"
5,8,"(41, 32, 33)"
6,0,"(65, 184, 214)"
6,1,"(35, 152, 195)"
6,2,"(16, 96, 133)"
6,3,"(45, 132, 199)"
6,4,"(13, 96, 174)"
