VIAN_color,lab,bgr
orange,"[47, 12, -50]","[57, 109, 195]"
green,"[55, -18, 10]","[106, 140, 114]"
black,"[12, 6, -4]","[37, 29, 37]"
amber,"[51, 11, -52]","[59, 121, 211]"
purple,"[39, 18, -11]","[113, 82, 111]"
apricot,"[79, 0, -25]","[166, 197, 241]"
cyan,"[71, -7, 32]","[181, 175, 113]"
blue,"[52, 6, 21]","[147, 120, 88]"
bronze,"[36, -14, -2]","[54, 91, 87]"
magenta,"[28, 26, -27]","[84, 52, 108]"
sepia,"[30, -8, -10]","[44, 76, 86]"
pink,"[61, 21, -32]","[155, 137, 204]"
copper,"[28, 6, -23]","[51, 65, 101]"
mustard,"[59, -11, -27]","[76, 149, 188]"
yellow,"[69, -20, -23]","[84, 180, 210]"
grey,"[49, 1, 2]","[119, 116, 114]"
red,"[23, 31, -50]","[45, 42, 132]"
peach,"[74, 5, -26]","[164, 180, 228]"
silver,"[59, -1, -14]","[126, 143, 166]"
brown,"[31, 1, -19]","[53, 74, 103]"
rust,"[31, 15, -40]","[46, 68, 136]"
gold,"[73, -17, -23]","[107, 190, 222]"
coral,"[54, 21, -50]","[109, 120, 214]"
beige,"[69, -11, -4]","[143, 176, 176]"
cream,"[79, 4, -23]","[179, 195, 237]"
lavender,"[68, 16, -7]","[189, 158, 180]"
white,"[89, -3, -2]","[216, 226, 227]"
ultramarine,"[37, 25, 18]","[132, 70, 59]"
